Title	Identifier	Platforms	Website	Development Studio	Studio Location	Publisher	Sponsor	Early Access Date	Release Date	Languages	Media Format	Genres	Awards	Store	Presskit	Articles	Twitter	Development Log	Source	Online Play	Download Page	Direct Download	Trailer Video Link	Logo Direct Link	Screenshot Direct Link	Box Art Direct Link	Description	Credits	Remarks	State (released, unreleased, canceled)	Data Quality
Bubble Islands	bubbleislands	Flash	http://www.dot-invasion.com/dbis/	Dot.invasion	Neyruz				2006	English		Arcade, puzzle								http://www.dot-invasion.com/dbis/play/index.html					http://www.dot-invasion.com/dinv/portfolio/bubble_islands/bubble_islands_img_2.jpg	http://www.dot-invasion.com/dinv/portfolio/bubble_islands/bubble_islands_img_1.jpg	Bubble Islands is an exciting puzzle and arcade game featuring 10 different and cute characters. Challenge your opponents, connect your bubbles and preserve your island through series of funny but competitive duels!! Bubble Islands was finalist at the Independent Games Festival (IGF) in 2007. This annual event takes place during the Game Developer Conference (GDC), San Francisco.	Alexandre Renevey		Released	6241
Alinghi Quiz	alinghiquiz	Java	http://www.bitforge.ch/portfolio/alinghi-quiz/	bitforge					2006																					released	3110
Alinghi Race	alinghirace	Java	http://www.bitforge.ch/portfolio/alinghi-race/	bitforge					2006																					released	3110
Alpine Challenge 2	alpinechallenge2	Java	http://www.bitforge.ch/portfolio/alpine-challenge-2/	bitforge					2006																					released	3110
Ariel Pocket - Fight Dr.Stain	arielpocketfightdrstain	Java	http://www.bitforge.ch/portfolio/ariel-pocket/	bitforge					2006																					released	3110
Babe Rally 2	baberally2	Java	http://www.bitforge.ch/portfolio/babe-rally-2/	bitforge					2006																					released	3110
Cat Bastard	catbastard	Java	http://www.bitforge.ch/portfolio/cat-bastard/	bitforge					2006																					released	3110
Crosstown Jam	crosstownjam	Java	http://www.bitforge.ch/portfolio/crosstown-jam/	bitforge					2006																					released	3110
Piaggio NRG Race	piaggionrgrace	Java	http://www.bitforge.ch/portfolio/nrg-race/	bitforge					2006																					released	3110
Queuing	queuing	Java	http://www.bitforge.ch/portfolio/queuing/	bitforge					2006																					released	3110
Sex Appeal Test	sexappealtest	Java	http://www.bitforge.ch/portfolio/sex-appeal-test/	bitforge	Zürich				2007	English															https://www.bitforge.ch/home/wp-content/uploads/2013/06/whoami_appeal_test_8_in_game.jpg		Messe deinen Sex Appeal mit dem Test-Quiz. Der Test wurde mit Psychologen erarbeitet. Mit dem Sex Appeal Test wollten wir den Markt testen – wir wollten wissen, ob es eine Nische für Psychologie-Test Apps gibt.  Die wichtigsten Features: - 16 Fragen zu verschiedenen Gebieten - Psychologische Kriterien - Mengen an Tipps zur Verbesserung deines Sex Appeal			released	5130
Billard	billard	Java	http://www.bitforge.ch/portfolio/billard/	bitforge					2007																					released	3110
Bom chicka wah wah	bomchickawahwah	Java	http://www.bitforge.ch/portfolio/axe-bom-chicka-wah-wah/	bitforge					2007																					released	3110
Suicide Survival	suicidesurvival	PC	http://suicide-survival.com	Tobias Baumann	Zürich				2008												http://suicide-survival.com/download/		https://www.youtube.com/watch?v=IU_JHheywC4		http://suicide-survival.com/wp-content/gallery/suicide-survival-1-1-screenshots/ss_garden20010.jpg		Suicide Survival is a modification of Half-Life 2 Deathmatch.  There are two teams. You either play as an overweight WW2 pilot in the survivor team or as a suicider disguised as a pot plant in the suicider team.  The goal for the survivors is to stay alive and to spot the suiciders. They have a couple of throw-able copies of the book: “Gardening for Beginners – by Barbara Bush” as a self-defense weapon.  The goal for suiciders is to sneak up close enough to the survivors in order to blow themselves up. Because each map is full of shrubberies its very hard to spot a real suicidal pot plant among the many fake ones. If a shrubbery isn’t moving, you can’t tell if he is being controlled by another player or not.  Currently the game doesn’t have any other goal then being simple team deathmatch. However it still is a lot of fun and you should definitely try it out with a few friends.			released	8120
Darts 2008	darts2008	Java	http://www.bitforge.ch/portfolio/darts-2008/	bitforge					2008																					released	3110
The Fugitive Program	thefugitiveprogram	PC, Mac, Web	http://tfp.2ndsky.ch/	Tobias Baumann	Zürich				2009											http://tfp.2ndsky.ch/play/index.html	http://tfp.2ndsky.ch/download_access.html				http://tfp.2ndsky.ch/images/Assets23-01-2010_00-37-02.jpg		You are one of many system control programs sent to bring unruly programs to justice. As a master of control and order you will find your way among the many programs performing their daily functions with only one objective: to find and delete the fugitive program!			released	8120
Straight, No Chaser	straightnochaser	Windows, Mac, WebGL	https://projects.mariov.ch/snc/	Mario von Rickenbach	Zürich				2009	English										https://projects.mariov.ch/snc/play	https://projects.mariov.ch/snc/		https://vimeo.com/52408942				Straight, No Chaser is an arcade game for two players! 			released	8130
DOPPELSCOPE	doppelscope	PC, Mac	http://www.doppelscope.com/	Tobias Baumann					2009				Unity Awards 2009 Best Visual Design									http://www.doppelscope.com/			http://www.doppelscope.com/images/doppelscope_v0_3---00.jpg		Doppelscope is an abstract puzzle game that is all about the invisible relations things have to another. The game can also be considered an experimental playground and simulation our world.  Doppelscope is divided into small cubical worlds. The goal in each world is to restore a given misbalance by reconnecting and moving the things presented in the world. Of course the solution isn't always the obvious one and there is plenty of room for experimentation.			released	6120
Ynth	ynth	iOS	http://www.krabl.com/krabl/ynth.html	krabl.com					2009					http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=325380165&mt=8											http://www.krabl.com/krabl/ynth_files/turnbox.jpg	http://www.krabl.com/krabl/ynth_files/turnbox.jpg	On a family trip, small red bug Kribl got hit by a vicious wind gust and was carried far away to a spooky marshland.  Centuries ago mysterious creatures lived here in their bizarre labyrinth-like dwellings. To repel burglars, many deadly traps were installed.  Looking for an exit, Kribl is straying through this ghost town on the marsh...  Ynth is a clever new jump & turn game for iPhone and iPod Touch. It combines puzzle and 2d jump & run elements to a fascinating game that is easy to pick up and stays entertaining and challenging for hours.			released	5310
Gbanga Zooh	gbangazooh	J2ME	https://gbanga.com/gameography/gbanga-zooh/	Gbanga					2009														https://www.youtube.com/watch?v=rHUnzk8Cwg8				Gbanga Zooh, the mixed-reality location-based game was designed for the  Zurich Zoo to raise awareness about endangered animals. Gbanga released  (virtual) wild animals all across the city that needed to be saved by the players. The quest was combined with cross media promotion (flyer, posters, website, and newspaper) to reach a maximum attention.			released	5110
Helsana	helsana	iOS	http://www.bitforge.ch/portfolio/helsana/	bitforge			Helsana		2009																https://www.bitforge.ch/home/wp-content/uploads/2013/06/helsana_quiz_5_joker.jpg		Als Ergänzung zur Web Kampagne CC7 von Helsana haben wir für EyeCatcher ein Mobile Quiz entwickelt. Unsere Aufgabe war die Erarbeitung des Konzeptes Optimierung der Grafiken für Mobiltelefone, sowie Testen und Bereitstellen der Versionen.			released	5110
Farming Simulator 2009	farmingsimulator2009	PC	https://www.farming-simulator.com/	Giants Software	Schlieren	Focus Home Interactive			2009	English, German		Simulation							https://www.mobygames.com/game/windows/farming-simulator-2009						https://www.mobygames.com/images/shots/l/657462-farming-simulator-2009-windows-screenshot-in-career-mode-the.jpg	https://www.mobygames.com/images/covers/l/183000-farming-simulator-2009-windows-front-cover.jpg	In Farming Simulator 2009 the player takes control over a farmer. The basic playing principle is easy: the player can move freely over his property of 4 km² to cultivate it. Like in real life there are many activities like plowing, seeding or harvesting which are needed to attend to. Several tools and machines are used for these tasks, e.g. tractors or balers. Other simulated aspects of the farming life are farm workers, weather conditions and night/day cycle.In comparison to its predecessor this installment adds basic managerial functions to the career mode: the player visits merchants to sell his crop products or obsolete machines and to purchase new gear. There are also 17 missions which serve as tutorial or present unusual tasks like an obstacle race.			Released	6241
ASD - Tower Defense	asdtowerdefense	Java	http://goupildb.github.io/asd-tower-defense/	4 heig-vd students					2010										https://github.com/goupildb/asd-tower-defense				https://www.youtube.com/watch?v=yV1nRcLD3AY		http://goupildb.github.io/asd-tower-defense/Screenshots/ASD.jpg		Why this Tower defense is different than others ? There are a large number of "Tower Defense" games but in most of them, creatures move on a fixed path. In this game there is no predefined path, you must slow the creatures strategically to prevent them from reaching your castle. To achieve this, the player can place the towers on the ground to force the creatures to move in another path. Thus the player can determine the path that the creatures will follow.			released	7110
Discrimination Pong	discriminationpong	iOS, PC, Mac	http://www.and-or.ch/discriminationpong/	and-or					2010													http://www.and-or.ch/discriminationpong/downloads/DiscriminationPongGriffinPowerMate.zip	https://www.youtube.com/watch?v=JSr3DYWFpqM		http://www.and-or.ch/discriminationpong/pictures/screen2.png		DISCRIMINATION PONG is an anti-discrimination Pong-game. The GameArt project features some serious defects. It visualizes discrimination/racism, makes it playable and very tangible. The player experiences discrimination/racism first-hand while trying to establish a win in this unfair variation of Pong. The 'not so white-paddle' is discriminated in several aspects: from its visuals and its movements to the overall gamemechanic of the game. It is very hard for the discriminated player to win a match. Discrimination is implemented in different ways: the 'not-so-white-paddle' gets darker and darker. The left paddle may be slower than the right one. The ball may accelerate on the left side of the playground and become too fast to catch in time. The white paddle on the right may receive an extra ball without deserving it. And maybe worst of all, the ball never touches the right wall or paddle but loops slowly back to the left and takes on a faster pace as soon as it reaches the left side of the playground again. A very unfair game indeed! Find out what types of discrimination/racism you have to expect in DISCRIMINATION PONG. 			released	7110
Fire Craft	firecraft	iOS, Browser	http://games2be.com/	games2be					2010					http://itunes.apple.com/us/app/firecraft/id409820104?mt=8&uo=4									https://www.youtube.com/watch?v=_KRUquvFfsk		http://is5.mzstatic.com/image/thumb/Purple/v4/64/41/96/644196e2-e440-c800-5451-bf3c50c47cf5/source/320x480bb.jpg		FireCraft is all about building your own firework rockets and giving amazing Firework-Shows. FireCraft is available for the iPhone/iPad and can also be played for online for free.			released	6210
Monospace	monospace	iOS	http://www.nonverbal.ch/mono.html	Nonverbal					2010					http://itunes.apple.com/WebObjects/MZStore.woa/wa/viewSoftware?id=302367044&mt=8									https://www.youtube.com/watch?v=tPCMslTyjK0		http://www.nonverbal.ch/img/003.png		Monospace is a puzzle game where the player needs to think in both 2 and 3 dimensions. The goal is to collect a certain amount of white cubes in  each level. To do that, the 3-dimensional level can be reduced to a flat image and then turned back into a spatial object again. Different possibilities  will result from different perspectives.			released	6210
No, Human	nohuman	iOS	http://vol-2.com/nohuman/	Rolf Fleischmann					2010					https://itunes.apple.com/us/app/no-human/id387624835?mt=8									https://vimeo.com/14124151		https://vol-2.com/nohuman/img/img04.jpg		As it happened before, it happend again. Mankinds puny struggle for meaning led once again to a collision with the universe. Being colonized is not every universes cup of tea, so naturally, someone is pissed a little angry and demands satisfaction. Therefore, all human presence outside of planet earth must be »demobilized« or the sun will be switched off for a couple of years.			released	6210
Gabarello	gabarello	iOS, Windows Phone	http://gabarello.zhdk.ch/	Centre for Serious Game Design ZHdK	Zürich				2010				European Innovative Games Award - EIGA 2010 Advancement Price (AME), Nominee of the Unity Award 2010			http://www.virtual-rehab.org/2011/program.html, http://www.wired.co.uk/wired-magazine/archive/2010/10/start/one-small-step, http://www.gamestar.de/news/branche/2321518/making_games_report.htmlMaking%20Games%20Report%20-%20Gabarello:%20Ein%20Roboter%20als%20Game%20Controller, http://www.aerzteblatt.de/archiv/78450/							https://www.youtube.com/watch?v=KMm_kfZXYZo		http://gabarello.zhdk.ch/images/GABARELLO_inGame_Screenshot_1.jpg		ABOUT  GABARELLO v 1.0 is a fully designed, playable prototype of a physiotherapeutic serious game for children with lower body motor loss.  It extends the use of the rehabilitation robot "Lokomat®", a gait orthosis machine into which children are strapped for sessions of variable duration, changing it from a tool into a game controller.    INTENTION  GABARELLO v1.0 animates therapy for children with lower body motor loss. Before GABARELLO v1.0, therapeutic motivation was achieved through individual therapists. The game exploitsthe potential of immersion, and integrating an Augmented Feedback Module to make therapy a stimulating, self-motivated, fun experience. GAME CONTROL & INTERFACE  GABARELLO v1.0 is kept deliberately simple to account for potential brain trauma or visual limitation of the patient, and ease of use by the therapist. The interface is a game screen attached to the biofeedback computer of the Lokomat . The game is controlled by the force of the movement of the child in the Lokomat . The level design of the game requires deliberate changes in exertion of the patient and thus meets therapeutic goals. As with most immersive games, GABARELLO v1.0 triggers brain problem-solving functions: the child is able to anticipate what s/he will do differently next time, and experiences positive rehabilitative effects for the brain as well as the body. GAME PLAY & MECHANICS  The avatar explores the surface of a curious planet and collects objects. The avatar's shape varies according to the intensity of effort of the controlling child. The visual feedback of the intensity is displayed through the shifting height, colour and speed of the avatar. More intensive biofeedback improves the avatar's abilities. CURRENT STATE  GABARELLO v1.0 has been in daily use for evaluation at the University Children's Hospital Zurich since December 2009. The enclosed video shows the game, the design and the interaction between GABARELLO v1.0, the robot Lokomat, the therapist and a patient.			released	6131
